category	id	Lastname 	Firstname	patronymic, toponymic	Gender	Profession	Origin	First seen	Last seen	MoCO-A since	Religion	YOB	Born in	YOD	Died in	Remark	Literature	Archives									
fiamminghi	014	Beekman	Abraham			clerk	Dutch		1713					1713	Livorno		Hoogewerff, 1927, p. 180.										
fiamminghi	015	Berck	Cornelis (cornelio)			merchant, consul missus	Dutch, Amsterdam	1622	1633	1622			Amsterdam			Brother of Reinier Berck, son of Johannes Berck, Dutch Ambassador in Venice.	"Agterhuis, 2013, p. 35. 
Engels,1993, p. 29.
Engels, 1997, p. 133, 143. 
Hoogewerff, 1927, p. 612.
Schutte, 1976, p. 446."	ASL, 2603-1, 45r, 98r.									
fiamminghi	016	Berck	Reinier				Dutch	1622	1631					1631	Livorno	Brother of Cornelis Berck, son of Johannes Berck, Dutch Ambassador in Venice.	"Engels, 1993, p. 29;"										
fiamminghi	017	Bergh, ten (ten Borch)	Rutger			shipowner, merchant	Flemish/Dutch	1650	1660		Protestant						"Engels, 2011, p. 33. 
Engels, 2024 (NL), p. 139."										
fiamminghi	018	Bevers	Daniel			sugar	Flemish/Dutch	1626	1635					1635	Livorno		"Brege, 2021, p. 98. 
Engels, 1997, p. 181, 144."	"ADL, Morti 2, c189.
ASL, 2603-1, 209r."									
fiamminghi	019	Biervliet	Antonius			merchant	Flemish/Dutch	1622								Father or brother of Walter Biervliet.	Engels, 1997, p. 133, 142, 181.										
fiamminghi	020	Biervliet	unknown, wife of Walter		F		Flemish/Dutch	1622									Engels, 1997, p. 142.										
fiamminghi	021	Biervliet (Beirvliet)	Walter (Gualtieri)			merchant	Flemish/Dutch	1622		1622							Engels, 1997, p. 133, 142, 181.										
fiamminghi	022	Bleyswick, van	Andries (adrien, Adriaan)			sugar	Flemish/Dutch	1631	1646	1631							"Engels, 1997, p. 133.
Hoogewerff, 1927, p. 161.
Kieckens, 1993, p. 57."	"ASL, dogana 4. c53-54, 155.
ASL, 2603-2, 1331r."									
fiamminghi	023	Bleyswick, van	Johannes (Giovanni)				Flemish/Dutch	1646	1646									ASL, 2603-2, 575r.									
fiamminghi	024																										
fiamminghi	025	Bontekoe (Vaccamacchiata)	Willem 	Gerardsz.		captain	Dutch	1626								Married to Anna Ruella.	"Engels, 1993, p. 31. 
Engels, 1997, p. 175."										
fiamminghi	026	Boos				priest	Flemish		1663		Catholic							ASL, 3076 processo contro il Console d’Olanda, XI p14									
fiamminghi	027	Bordes, de	Anthonie (Antonio)			merchant	Flemish/Dutch	1646	1648	1648							Hoogewerff, 1927, p. 161.										
fiamminghi	028																										
fiamminghi	029	Bostel, van	Bastiaan			merchant	Flemish/Dutch	1665	1684								Hoogewerff 1927, p173										
fiamminghi	030	Brassert (Brassart	Everardus (Eduardo, Everhardo, Eberhard)			merchant	Dutch, (Cologne)	1665	1699	1665			Cologne				"Hoogewerff, 1927, p. 173. 
Sonetti, 2023, p. 59.
Vivoli, 1842, p. 72. "										
fiamminghi	031																										
fiamminghi	032	Broch (then Borg)	George (Giorgio, Ruggiero)				Dutch	1662?	1692	1662?							Vivoli, 1842 IV, p. 72.										
fiamminghi	033	Broecke, van den 	Pieter			merchant	Dutch	1624	1624					1624	Livorno (Chiesa della Madonna)	Brother of Bernard van den Broecke	Engles, 1997, p.158.										
fiamminghi	034	Broecke, van den (Bruch, Broch, de Broegh, de Brook)	Bernard (Bernardus Timani, Bernardus, Bernardo			merchant	Dutch, Steenwijk	1616	1634	1622		1595	Steenwijk	1634	Livorno (Chiesa Madonna del Carmine)	Brother of Pieter van den Broecke	"Calafat, 2022, p. 539. 
Engels, 1997, p133, 218."	"ADL, Matrimoni 2, c20. 
ADL, Morti 2, 143r.
ASL, 2603-1, 98r.
ASL, 3076 processo contro il Console d’Olanda, 80r;"									
fiamminghi	035	Broegh (Broeg)	Frederik (Fredero, Frederigo)			merchant, consul	Dutch, Amsterdam	1682	1732	1682		1659	Amsterdam	1732.05	Livorno		"Hoogewerff, 1927, p. 173.
Schutte, 1976, p. 448."										
fiamminghi	036	Busch, van de 	Theodoor (Teodoro)	di Teodoro			Flemish		1661		Catholic	1618		1661	Livorno		Kieckens, 1993, p. 70.	ADL, Morti 4, 186v.									
fiamminghi	037	Calckberner	Jacob (Giacomo)			merchant, consul	Dutch, (Aachen)	1677	1706	1674		1642	Aken	1706.03.01	Livorno		"Hoogewerff, 1927, p. 172. 
Israel, 1986, p. 106.
Schutte, 1976, p. 447."										
fiamminghi	038	Calckberner	Eva		F		Dutch		1733			1658		1733	Livorno	Wide of Daniël van der Hout	Hoogewerff, 1927, p. 181. 										
fiamminghi	039	Canen, van der (Vandercanen)	Antonius (Antonio Daniello)			cobbler	Flemish/Dutch	1656									Kieckens, 1993, p. 58.	ASL, Catasto 206. c. 66									
fiamminghi	040	Capelle, van 	Pieter			merchant	Dutch, Amsterdam	1620	1635	1628		1606	Amsterdam				"Calafat, 2022, p. 539. 
Engels, 1997, p. 159, 161.
Engels, 2024, p. 38."										
fiamminghi	041	Cappelen	Abraham			merchant	Flemish/Dutch	1672	1689	1672							Hoogewerff, 1927, p. 173.										
fiamminghi	042	Cappelen, van der	Benedetta		F		Dutch	1646								Wife of Jacobus van der Cappelen		204 Arroti di decime c366									
fiamminghi	043	Cappelen, van der	Maria		F		Dutch	1646								Daughter of Jacobus and Benedetta van der Cappelen.		204 Arroti di decime c366									
fiamminghi	044	Cappelen, van der	Giulia		F		Dutch	1650								Daughter of Jacobus and Benedetta van der Cappelen.		204 Arroti di decime c366									
fiamminghi	045	Cappelen, van der	Lisabetta		F		Dutch	1650								Daughter of Jacobus and Benedetta van der Cappelen.		204 Arroti di decime c366									
fiamminghi	046	Cappelen, van der (van Capelle)	Jacobus (Giacomo, Jacopo)			merchant, consul	Dutch	1646	1666	1655						Husband of Benedetta van der Cappelen, had 4 daughters.	Schutte, 1976, p. 447.	204 Arroti di decime c366									
fiamminghi	047	Cappellen	Giovanni				Flemish/Dutch	1640	1666								Vivoli, 1842, IV, p. 72.	"30 (was 74) Decima Estimo nuovo, 310v;"									
fiamminghi	048	Cnuyten (Cuysten)	Herman (Ermanno)				Flemish/Dutch	1642		1642								"135 Lettere e negozi della comunità 1743r;"									
fiamminghi	049	Cocquiel, de	Pieter			merchant	Flemish										"Engels, 1993, p. 30.
Engels, 1997, p. 181. "										
fiamminghi	050	Coffart	Philips (Filippo)				Flemish/Dutch	1651		1651																	
fiamminghi	051	Colijns (Colyns)	Philips (Filippo)			merchant	Flemish/Dutch	1642	1650	1642							Kieckens, 2024, p. 126.										
fiamminghi	052	Colyer	Maria		F		Dutch	1668			Protestant			1720/5		Wife of Abraham de la Fontaine. Married in Livorno in 1668.	"Groot, 2010, p. 37.
Schutte, 1976, p. 447."										
fiamminghi	053	Coninck, de	Hendrick (Henrico, Hendrich)				Flemish/Dutch	1647		1647																	
fiamminghi	054	Constant	Lambert (Lamberto)	di Giovanni, di Liegi		engineer	Dutch, Liege	1622	1647	1642	Lutheran		Liege	1647	Livorno	"Also mentioned as ""Constant Lamberts""."	"Engels, 1997, p.131.
Engels, 2024, p. 32.
Hoogewerff, 1927, p. 168.
Vivoli, 1842, p. 73. "	ASL, catasto 85 - giustificazione - c. 200									
fiamminghi	055	Constant	Jenin (Ienin)				Dutch									Brother of Lambert Constant.	Dinelli, 2006, p. 199.										
fiamminghi	056	Cooste	Faj				Flemish/Dutch	1646		1646																	
fiamminghi	057	Dael, van (Vandal, van Dalen, van Daelhem, van Daell)	Johan (Giovanni)			consul missus	Dutch, Utrecht	1611	1622		Catholic		Utrecht	1632.06.17	Utrecht		"Biagi, 1977, p. 363.
Engels, 1993, p. 32. 
Heeringa 1966, p51.
Schutte, 1976, 447.
"	"ASL, 2602 Atti civili- suppliche 1595-1629, 479r. 
ADL, registro baptismi 1611-1627 (1,2), 59r. 
ADL, registro baptismi 1611-1627 (1,2) 59r. brieven Lus (1611.07.30)."									
fiamminghi	058	Danijs	Isaac (Isacco)			merchant	Flemish/Dutch											"135 Lettere e negozi della comunità 1743r;"									
fiamminghi	059	Delespaul	Antonius (Antonio)				Flemish/Dutch	1673		1673																	
fiamminghi	060	Dieman	Caterina		F		Flemish/Dutch	1637								"Daughter of Giovanni Dieman; Leaves Livorno after her father's death and continued her life in Genoa."		Dogana 2 c185									
fiamminghi	061	Dieman (di Diman)	Giovanni				Flemish/Dutch	1603									Kieckens, 1993, p. 79.	"ASL, comunità 1684. 12v; ASL, comunità 134, 348r -> niet opvraagbaar ivm schimmel;"									
fiamminghi	062	Dijlman (Dijtman, Ditman)	Frederik (Federigo)			merchant	Flemish/Dutch	1667		1667							"Hoogewerff, 1927, p. 173. 
Vivoli, 1842, p. 72."										
fiamminghi	063	Dompselaer	Arnoldus			merchant	Flemish/Dutch	1677	1684	1677							Hoogewerff, 1927, p. 173.										
fiamminghi	064	Dopper	Jan			captain	Dutch										"Engels, 1993, p. 31. 
Engels, 1997, p. 175."										
fiamminghi	065	Duquesnoy	François (Francesco)			sculptor	Flemish, Brussels	1643	1643		Catholic	1597	Brussels	1643	Livorno		Papi, 2002, p. 288.										
fiamminghi	066	Edzardi	Statio				Dutch/Flemish	1660		1660							Castignoli, 1979, p. 174.										
fiamminghi	067	Egmont	Jacob (Giacomo)			merchant	Dutch/Flemish	1668	1679	1668							Hoogewerff, 1927, p. 173.										
fiamminghi	068	Eighels (Sighels)	Jan (Giovanni)			merchant	Flemish/Dutch	1628		1628							"Engels, 1993, p. 29.
Engels, 1997, p. 133,  181. "										
fiamminghi	069	Eijch, van	Cornelis (Cornelio)			merchant	Dutch	1615									Van Gelder, 2009, p. 116.										
fiamminghi	070	Ens, van (Vanins)	Bernard  (Bernardo)	Jansz.		sugar	Dutch, Hoorn	1622	1626				Hoorn	1626			"Brege, 2021, p. 98. 
Engels, 1993, p. 26. 
Engels, 1997, p. 143."	ASL, 2603-1, 209r.									
fiamminghi	071	Esten, van	Jacob			banker	Flemish/Dutch	1650									"Kieckens, 2024, p. 126. 
Vivoli, 1842, III, p.  211."										
fiamminghi	072	Eugler	Johannes (Giovanni Simone)				Flemish/Dutch	1651		1651							Castignoli, 1979, p. 174.										
fiamminghi	073	Evers	Johannes (Giovanni)				Flemish/Dutch	1643		1643							Castignoli, 1979, p. 174.										
fiamminghi	074	Felthaus (Faltaus)	David (Davit)			merchant	Flemish/Dutch German	1609									Engels, 1993, p. 32.	"ASL, 2602. Atti civili- suppliche 1595-1629 373r; ASL, 2602. Atti civili- suppliche 1595-1629 444r"									
fiamminghi	075	Fiammingho	George (Giorgio)	di Giovanni		merchant	Flemish/Dutch	1611								It is possible this is the same person as Joris Jansen. 	Engels, 1997, p. 155.	"ASF, Mediceo del Prinicipato No. 2079, f.379r; Sanità Negozi no.134, f.1174; ASF, Notarile Moderno Protocolli no. 9444, f.5r; ASF, società mercantile Olandese no.37, f.1r;"									
fiamminghi	076	Fontaine, de la	Abraham (Abram)			consul missus	Flemish/Dutch	1666	1680	1666	Protestant			1688	Constantinopel		"Groot, 2010, p. 37.
Hoogewerff, 1927, p. 171.
Schutte, 1976, p. 448; "	"ASL, 3076 processo contro il Console d’Olanda, XXII;"									
fiamminghi	077	Gallaccini	Anton Domenico				Flemish/Dutch	1676		1676							Castignoli, 1979, p. 174.										
fiamminghi	078	Gardini	Nicolo (Niecolo)				Dutch, Amsterdam	1637	1646				Amsterdam					Dogana 2 c179									
fiamminghi	079	Gardini (Gardinj)	Giovanni Battista			shopowner	Flemish/Dutch	1648	1653	1648							Kieckens, 1993, p. 57. 	"ASL, 200 catasto, c85.
ASL, 204 catasto,  c431.
ASL, 155 governatore ed auditore, c1006.
ASL, 2603-2, 575v."									
fiamminghi	080	Gentile	Guasparre			Innkeeper	Flemish	1610									Vivoli, 1842, IV, p. 34, 113.										
fiamminghi	081	Gequier	Giacomo				Flemish/Dutch	1658		1658							Castignoli, 1979, p. 174.										
fiamminghi	082	Gerards (Gerard, Gerardi, Gherardi)	Arrigo (Enrico, Hendrik)				Flemish/Dutch	1650	1666	1651							"Kieckens, 1993, p. 58. 
Kieckens 2024, p128.
Vivoli, 1842, IV, p. 72, 517. "										
fiamminghi	083	Gilles	Carlo			merchant	Flemish/Dutch	1655	1665	1655							"Hoogewerff, 1927, p. 173. 
Kieckens, 1993, p. 66.
 Vivoli, 1842, IV, p. 74, 517."	ASF. mediceo 1804. c. 36.									
fiamminghi	084	Giovanni 	Egbert	Jansz.		sugar	Flemish/Dutch	1628	1651	1628							Kieckens, 1993, p. 57.	"ASL, dogana 4. c. 53-54, 155; ASL, 2602-2 430r;"									
fiamminghi	085	Giusto, di	Nicolo			chaplain	Flemish, Antwerp	1620	1630		Catholic		Antwerp				Engels, 1997, p. 131.	ASF, Società mercantile Olandese 29 f.37v									
fiamminghi	086	Gontier	Antoine (Antonio)			sugar	Flemish/Dutch	1636	1647	1647							Kieckens, 1993, p. 57. 	"ASL, dogana 4. c. 53-54 (4 februari 1648).
ASL, 2603-2, 575r."									
fiamminghi	087	Gontier	Antonio (cousin)			sugar	Flemish/Dutch	1636									Kieckens, 1993, p. 57.	ASL, dogana 4. c. 53-54 (4 februari 1648).									
fiamminghi	088	Gontier (Gautier)	Paris			sugar	Flemish/Dutch	1626	1635								"Brege, 2021, p. 98.
Engels, 1993, p. 30. 
Engels, 1997, p. 181. "	"ASL, 2603-1, 209r.
ASL, Dogana 2, c179."									
fiamminghi	089	Goor, van	Gisbertus (Gisberto)			merchant	Flemish/Dutch	1655	1656	1655							"Hoogewerff, 1927, p.173. 
Kieckens, 1993, p. 58."										
fiamminghi	090	Grebert	Claudio				Flemish/Dutch	1656		1656																	
fiamminghi	091	Grol, van	Johannes Laurensz.				Dutch	1623	1623								Engels, 1997, p. 158.										
fiamminghi	092	Hamblock	Hendrik			merchant	Flemish/Dutch	1662	1668					1668			Hoogewerff, 1927, p. 173.										
fiamminghi	093	Haze, de (Dehaze)	Henbdrick (Henrico, Enrico)			merchant	Dutch	1646		1646							Van Gelder, 2009, p. 155.										
fiamminghi	094	Heirmans (Hierman)	Daniel (Daniele)				Flemish/Dutch	1681		1681							Castignoli, 1979, p. 174.										
fiamminghi	095	Hendricks (Arrigo)	David (Davide)			cobbler	Flemish/Dutch	1615	1635							Anna di David possibly was his wife.	Engels, 1997, p. 134.										
fiamminghi	096	Hendriks (Arrigo)	Gerard (Gherardi)				Flemish/Dutch	1650	1666	1655							"Kieckens, 1993, p. 58. 
Kieckens 2024, p128.
Vivoli, 1842, IV, p. 72, 517. "										
fiamminghi	097	Hespel	Giovanni Girolamo				Flemish/Dutch	1667		1667																	
fiamminghi	098	Heukelom, van (van Henchelom)	Franciscus (Francesco)			consul	Dutch	1667	1677	1667							"Hoogewerff, 1927, p. 171.
Schutte, 1976, p. 447;"										
fiamminghi	099	Hont, d'	Reinier				Flemish/Dutch	1659	1668	1659							"Kieckens 1993 p77;"	ASL, catasto 208. c. 690.									
fiamminghi	100	Houbroken, van	 Hector (Ettore)			painter	Flemish, Antwerp	1674	1722			1624	Antwerp	1722	Livorno (Chiesa di Stimmate)	Was married to Giuseppa Maffei from Messina, where they both had lived for some time. They had at least three children.	https://edu.nl/6cvbx										
fiamminghi	101	Houbroken, van	Maria		F		Flemish, (Messina)	1674	1745			1653	Messina	1745	Livorno (Chiese di Miserecordia)	Daughter of Hector van Houbroken	https://edu.nl/6cvbx										
fiamminghi	102	Houbroken, van	Niccolò				Flemish, (Messina)	1674	1724			1660	Messina	1724	Livorno (chiese di Stimmate)	Son of Hector van Houbroken	https://edu.nl/6cvbx										
fiamminghi	103	Houbroken, van	Placido				Flemish, (Messina)	1674	1684			1670	Messina	1684	Livorno (Chiesa della Madonna)	Son of Hector van Houbroken	https://edu.nl/6cvbx	ADL, morti 6, 312v.									
fiamminghi	104	Houck (Hoch) 	Pieter (Pietro)	di Pietro		captain	Flemish/Dutch	1623	1645		Catholic					Married Anna Lucretia di Francesco Bongianni di Livorno.	"Kieckens 1993 p74, 80;"	ADL, libro dei matrimoni 2, 20r									
fiamminghi	105	Hout, van der	Daniel 	Hermansz.		merchant	Flemish/Dutch	1684	1689			1672		1738	Livorno	Married to Eva Calckberner	Hoogewerff 1927, p173										
fiamminghi	106	Hout, van der	Andreas				Dutch, Amsterdam					1678	Amsterdam	1744	Livorno		Hoogewerff 1927, p181										
fiamminghi	107	Houten, van	Stefanus (Stefano)			merchant	Dutch, Amsterdam	1689				1665	Amsterdam	1726	Livorno		Hoogewerff 1927, p173										
fiamminghi	108	Huygens	Johannes Anthonius (Giovanni Antonio)			merchant	Flemish/Dutch	1677	1679	1677							Hoogewerff 1927, p173										
fiamminghi	109	Jansen	Joris			merchant	Dutch	1611	1621			c. 1575	Antwerpen				"Engels 1997, p155; Heeringa 1910, p94; Engels 2024, p37;"										
fiamminghi	110	Kenckrinck	Theodoor (Theodor)				Flemish/Dutch	1677		1677																	
fiamminghi	111	Keyzer, de	Wouter			merchant	Flemish/Dutch	1630									"Engels 1997, p78; Engels 1993, p30;"										
fiamminghi	112	Koe, de (la Vaccha) 	Hendrick (Arrigo)	di Niccolaio, Nicolaasz. 		goldsmith	Flemish/Dutch	1615	1635		Catholic					Married Diamante di Battista Bottasi di Livorno.	Engels 1997, p134	"ADL, libro dei matrimoni 1627-1640 47r;"									
fiamminghi	113	Lamberts	Bernard (Bernardo)			cobbler	Dutch, Groningen	1615	1635		Catholic		Groningen			Married Donna Caterina Serrida da Monferato.	Engels 1997, p134	"ADL, matrimoni 1611-1627 127v; ASF, Società Mercantile Olandese, 36 Debitori e Creditori 1620, c97; 43 Debitori e Creditori 1629-1630, c35 and c42; 44 Debitori e Creditori 1623-1625, c305."									
fiamminghi	114	Lemmens	Johannes (Giovanni)			merchant	Flemish	1600									"Engels 1997, p135, p140; Engels 1993, p29;"										
fiamminghi	115	Lespierre, de	Stephano				Flemish/Dutch	1656		1656																	
fiamminghi	116	Leven, van der	Daniello	di Antonio			Flemish/Dutch	1692	1714									ASL, 1684 Catalogo dei cittadini livornesi 134r.									
fiamminghi	117	Leven, van der	Francesco				Flemish/Dutch	1692	1696									ASL, 1684 Catalogo dei cittadini livornesi 134r.									
fiamminghi	118	Leven, van der	Francesco	di Antonio			Flemish/Dutch	1692	1696									ASL, 1684 Catalogo dei cittadini 134r									
fiamminghi	119	Leven, van der (Vanderleven, Lega, van der)	Antonius (Antonio)				Flemish/Dutch	1664			Catholic				Livorno	Had a 1 year old child who was burried on 4 July 1664.	Kieckens, 1993, p67, 69.	"ASL, Catasto 208. c. 787.
ASL, Catasto 210. c. 1372.
ADL, libro dei morti 5, c107."									
fiamminghi	120	Lodestein	Gijsbert				Flemish/Dutch	1630									"Engels 1993, p30;"										
fiamminghi	121	Lokeren, van (de Loeckere, di Lockern)	Cornelis (Cornelio)			merchant	Dutch	1655	1656	1656							"Hoogewerff 1927, p171; Kieckens 1993, p80; Vivoli 1842 p72"										
fiamminghi	122	Luninchuysen	Giovanni			merchant	Dutch	1666									Schutte, 1976, p. 447.										
fiamminghi	123	Lus	Jacob				Dutch	1618-1649										"ASL, 74. L'archivio Estimi comunali (1558-1831) di Livorno, 136recto; "									
fiamminghi	124	Lus 	Abraham			merchant	Dutch	1603	1620								"Engels 1997, p136; Brulez, 1965, index;"										
fiamminghi	125	Lus (Luz)	Isaac (Isach, Isack Antonio)			merchant	Dutch	1595	1620																		
fiamminghi	126	Maijor, de	Girolamo di Girolamo				Dutch		1663		Catholic			1663	Livorno		"Kieckens, 1993 p. 70;"	ADL, libro dei morti 5. c. 82									
fiamminghi	127	Maire, le	Isaac			merchant	Dutch	1600	1614		Protestant					Probably not permanent in Livorno.	Engels 1997, p130	ASL, 2602 Atti civili-suppliche 1595-1629, 606rv.									
fiamminghi	128	Maire, le	David			merchant	Dutch	1604	1618		Protestant		Antwerp	1618	Livorno		"Engels 1997, p130, 138; Calafat 2018, p752; Engels 1993, p28;"	"ASL, 3076processo contro il Console d’Olanda, XV.
ADL, libro di morti 1, c62."									
fiamminghi	129	Maire, le	Paolo Antonio di David				Dutch, (Livorno)	1612			Protestant	1612	Livorno				"Engeles 1997, p142;"	"ASL, 2602-2 428r; Battesimi 3, 28r."									
fiamminghi	130	Maire, le	Simon 			merchant	Dutch, Middelburg	1617	1634	c1628	Protestant		Middelburg	1634	Livorno	"Came to Livorno with his first wife ""Maria from Palermo"". Iin 1626 he married Maria, daughter of Orazio Canneri from Livorno."	"Engels 1997, p141; Panessa 2002, p39"	"Atti civili- suppliche 1595-1629 444r; ASL, catasto 201. c. 367"									
fiamminghi	131	Maire, le	Salomon				Dutch	1618	1625		Protestant		Antwerp	1625	Livorno		"Engels 1993, p28, 141;"	ASL, 2602-2 430r									
fiamminghi	132	Malaperts (Malpert)	Johannes (Giovanni)				Flemish/Dutch	1666	1667	1667							Vivoli 1842, IV, p72										
fiamminghi	133	Mayssart	Pieter (Pietro)				Flemish/Dutch	1666									Vivoli 1842, IV, p72										
fiamminghi	134	Mazzolen	Jacob (Giacomo)				Flemish/Dutch	1676		1676																	
fiamminghi	135	Mellino	Eduard (Iduardo)				Flemish/Dutch	1623								Married Elia di Manso francese on 26 July 1623		ADL, libro dei matrimoni 1, 103r.									
fiamminghi	136	Meltra	Anne-Maria		F		Flemish/Dutch										Kieckens, 1993, p. 35.										
fiamminghi	137	Meyer (Maier)	Cornelis (Cornelio)			engineer	Dutch, Amsterdam	1680	1691			1629	Amsterdam	1701	Rome		"Vivoli 1842, IV, p. 15 ev; 
Turco 2016, p115;"										
fiamminghi	138	Michelsen (de Michelo)	Michel				Flemish/Dutch	1650									"Pessina en Papini, 2024, p128; Kieckens 1993, p58, 72; "	ASL,  governatore ed auditore 155. c. 1006 (21 april 1653). Zie bijlage III.									
fiamminghi	139	Mijle (Mille)	Jacob (Jacopo)	di Egidio		merchant	Flemish, Mons	1621	1634	1628			Mons	1634	Livorno	Married to a woman named Pellegrina in 1634.	"Engels 1997, p133, 142; Kieckens 1993, p74"	"ADL, Matrimoni 2, 106v.
ADL, libro di morti  2, c165."									
fiamminghi	140	Molives	Johannes (Giovanni)				Flemish/Dutch	1663		1663																	
fiamminghi	141	Molives (Molines, Moilives)	Cornelis (Giacomo?)			merchant	Flemish/Dutch	1648	1689	1648 en 1676							"Hoogewerff 1927, p173; Vivoli 1842, p72"	Dogana 3, 210rv									
fiamminghi	142	Muissens	Nichols				Flemish/Dutch	1649		1649																	
fiamminghi	143	Muisson	Daniel 	Jansz.		entrepreneur	Flemish, Antwerp	1625					Antwerp	1632	Livorno		"Engels 1993, p26; Engels 1997, p135"										
fiamminghi	144	Muisson	broer van Daniel Jansz 1				Flemish, Antwerp							1617	Livorno		"Engels 1997, p142;"										
fiamminghi	145	Muisson (Moisson, Muysson)	Jan (Giovanni)			merchant	Flemish, Antwerp	1628	1646	1628			Antwerp				"Engels 1997, p133, 142; Kieckens 1993 p57;"	ASL, 2603-2, 1363r, 1365r.									
fiamminghi	146	Munnickhoff (Munnichoff, Munichoff)	Nicolaas (Nicolo, Nicolaus)				Dutch, Amsterdam	1677	1699	1677			Amsterdam	1699	Livorno		Hoogewerff 1927, p171										
fiamminghi	147	Muyens	Arnoldus				Flemish/Dutch	1676		1676																	
fiamminghi	148	Muyens	Bernardo				Flemish/Dutch	1682		1682																	
fiamminghi	149	Muyssart	Pieter (Pietro)			merchant	Flemish/Dutch	1667		1667							Hoogewerff 1927, p173										
fiamminghi	150	Neck, van (Vannech, Vannaecher, Vanacher)	Johannes (Giovanni, Jan)			merchant, innkeeper	Dutch	1637	1655	1649						Son of Jacob van Neck jr. Married to Lucretia, figlia di MichelAngelo Barberi.	"Scholten 1993,p205; Hoogewerff 1927, p161"	"ADL, libro dei matrimoni 1627-1640 148v; 135 Lettere e negozi della comunità (dal 1641 al 1650) 1740v; "									
fiamminghi	151	Neck, van (Vannech)	Cornelis (Cornelio)			merchant	Dutch	1642	1659	1642						Son of Jacob van Neck jr. 	"Hoogewerff 1927, p161; Scholten 1993,p205;"										
fiamminghi	152	Neck, van (Vannech) il giovane	Jacob jr.			merchant	Dutch, Enkhuizen	1622	1649	1628			Enkhuizen?			Married to Donna Maria Marianne.	"Engels 1997, p133, 143; Pessina en Papini 2024,p382; Scholten 1993, p205;Engels 1993, p29;"	"ADL, matrimoni 1611-1627 101v; 30 (was 74) Decima Estimo nuovo 317r;"									
fiamminghi	153	Neijs	Hendrik			merchant	Flemish/Dutch	1647									Hoogewerff 1927, p161										
fiamminghi	154	Neijs (Nijssen)	Isaäk (Isach, Giovanni)			merchant	Flemish/Dutch	1647		1647							Hoogewerff 1927, p161	ASL, 3* (was 4) Affari generali e particolari 1647- 1653 di Dogana Granducale, 249r.									
fiamminghi	155	Nizza - Cappelen, van der	Maria		F		Dutch	1646								Daughter of  van Giacomo en Benedetta van der Cappelen, married to Domenico Nizza.		204 Arroti di decime c366									
fiamminghi	156	Noirot	Johannes (Giorgio)			merchant	Flemish/Dutch	1628		1628							"Engels 1997, p133; Engels 1993, p29;"										
fiamminghi	157	Nuyts	Giovanni Elia				Flemish/Dutch	1688		1688																	
fiamminghi	158	Oran, d'	Raimondo				Dutch	1618-1649										ASL, 74. L'archivio Estimi comunali (1558-1831) di Livorno, 136recto									
fiamminghi	159																										
fiamminghi	160	Passavant	Isaacq				Flemish/Dutch	1678		1678																	
